layer_name,parameter_shape,parameter_norm,gradient_norm,update_norm,update_to_weight_ratio,learning_rate,warmup_fraction,schedule_multiplier,optimizer_step,execution_mode
blocks.1.attn.proj.weight,"[64, 64]",4.57528829574585,0.14809618890285492,0.003600804368034005,0.0007870114701585188,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.1.ln2.weight,[64],8.000102996826172,0.008704015053808689,0.0004002378263976425,5.002908419509426e-05,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.1.ln2.bias,[64],0.0005488746101036668,0.008221636526286602,0.0004809332313016057,0.8762169399870239,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.1.mlp.fc1.weight,"[256, 64]",9.241909980773926,0.12275730818510056,0.007263381499797106,0.0007859177934980129,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.1.mlp.fc1.bias,[256],1.1367136240005493,0.014986653812229633,0.0009930406231433153,0.0008736066870109366,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.1.mlp.fc2.weight,"[64, 256]",4.6344523429870605,0.23771287500858307,0.007361763622611761,0.0015884862067363189,8.999999999999999e-05,0.3,0.3,2,smoke
blocks.1.mlp.fc2.bias,[64],0.2890850305557251,0.041648756712675095,0.0005331524880602956,0.001844275668772559,8.999999999999999e-05,0.3,0.3,2,smoke
ln_f.weight,[64],7.999876022338867,0.06453858315944672,0.00048684669309295714,6.085677974677178e-05,8.999999999999999e-05,0.3,0.3,2,smoke
ln_f.bias,[64],0.0005958870751783252,0.06390992552042007,0.0005487654125317931,0.9209218246050556,8.999999999999999e-05,0.3,0.3,2,smoke
lm_head.weight,"[33, 64]",3.3513455390930176,0.8586282730102539,0.002786871511489153,0.0008315679415866412,8.999999999999999e-05,0.3,0.3,2,smoke
token_emb.weight,"[33, 64]",46.13386535644531,0.047027796506881714,0.0018726105336099863,4.0590800687121825e-05,0.00011999999999999999,0.4,0.4,3,smoke
pos_emb.weight,"[32, 64]",44.932029724121094,0.044217828661203384,0.0010253411019220948,2.2819826039856277e-05,0.00011999999999999999,0.4,0.4,3,smoke
blocks.0.ln1.weight,[64],7.999802112579346,0.010544751770794392,0.000530203920789063,6.627712952490912e-05,0.00011999999999999999,0.4,0.4,3,smoke
blocks.0.ln1.bias,[64],0.0010003315983340144,0.013621247373521328,0.0005501022678799927,0.5499199153522206,0.00011999999999999999,0.4,0.4,3,smoke
blocks.0.attn.qkv.weight,"[192, 64]",7.996981620788574,0.17457450926303864,0.0069364928640425205,0.0008673888715725872,0.00011999999999999999,0.4,0.4,3,smoke
blocks.0.attn.proj.weight,"[64, 64]",4.644313812255859,0.16704915463924408,0.004055974073708057,0.0008733204166791583,0.00011999999999999999,0.4,0.4,3,smoke
blocks.0.ln2.weight,[64],7.999981880187988,0.009327571839094162,0.00047583438572473824,5.94794329351102e-05,0.00011999999999999999,0.4,0.4,3,smoke
blocks.0.ln2.bias,[64],0.0010833479464054108,0.008227843791246414,0.0005980292335152626,0.5520195385974987,0.00011999999999999999,0.4,0.4,3,smoke
